ID	DOCULECT	CONCEPT	ENTRY	FORM	TOKENS	COGID	ROOT	ALIGNMENT
6276	Khalaj	how?	nätäydä	nɛtɛjdɛ	n æ t æ j d æ	640	nečik	- - n æ - - - - - - - - t æ j d æ - - - - - -
6277	Kumyk	how?	nečik	neʨik	n e tʃ i k	640	nečik	- - n e tʃ i k - - - - - - - - - - - - - - - -
6278	Salar	how?	nečuχ	neʨuχ	n e tʃ u χ	640	nečik	- - n e tʃ u χ - - - - - - - - - - - - - - - -
6279	SarygYugur	how?	naɣu, (naɣï, naḳ), naɣïp (ne ḳïlïp)	naɣu, (naɣɯ, naq), naɣɯp (ne qɯlɯp)	n a ɣ u	640	nečik	- - n a - - - - - - - - - - - - - - - - - ɣ u
6280	Tatar	how?	niček	niʨek	n i tʃ e k	640	nečik	- - n i tʃ e k - - - - - - - - - - - - - - - -
6281	Turkish	how?	nasïl	nasɯl	n a s ɯ l	640	nečik	- - n a - - - - - s ɯ l - - - - - - - - - - -
6282	Turkmen	how?	nähili	nɛhili	n æ h i l i	640	nečik	- - n æ - - - - - - - - - - - - - h i l i - -
6283	Uighur	how?	nečuḳ	neʨuq	n e tʃ u q	640	nečik	- - n e tʃ u q - - - - - - - - - - - - - - - -
7132	NorthAltai	hunt (v.)	aŋ-na-		a ŋ n a	741	*aŋ 'game'	a ŋ - - n a - - - - - - -
7133	SouthAltai	hunt (v.)	aŋda	aŋda	a ŋ d a	741	*aŋ 'game'	a ŋ - - d a - - - - - - -
7134	Khakas	hunt (v.)	aŋna	aŋna	a ŋ n a	741	*aŋ 'game'	a ŋ - - n a - - - - - - -
7135	Kirghiz	hunt (v.)	aŋčïlïḳ ḳïl	aŋʨɯlɯq qɯl	a ŋ tʃ ɯ l ɯ q _ q ɯ l	741	*aŋ 'game'	a ŋ tʃ ɯ - - l ɯ q _ q ɯ l
7136	Nogai	hunt (v.)	aŋšïla	aŋšɯla	a ŋ ʃ ɯ l a	741	*aŋ 'game'	a ŋ ʃ ɯ l a - - - - - - -
7137	Shor	hunt (v.)	aŋna 'to hunt a beast'	aŋna 'to hunt a beast'	a ŋ n a	741	*aŋ 'game'	a ŋ - - n a - - - - - - -
7138	Tofa	hunt (v.)	aŋna	aŋna	a ŋ n a	741	*aŋ 'game'	a ŋ - - n a - - - - - - -
7139	Tuvan	hunt (v.)	aŋna	aŋna	a ŋ n a	741	*aŋ 'game'	a ŋ - - n a - - - - - - -
7142	Dolgan	hunt (v.)	bulta:	bulta:	b u l t aː	743	*bul	b u l t aː
7143	Yakut	hunt (v.)	bulta:	bulta:	b u l t aː	743	*bul	b u l t aː
7144	CodexCumanicus	hunt (v.)	uula-, huala-		uː l a	744	ab	- uː - l a - - - - - - - - - - - -
7145	OldUyghur	hunt (v.)	avla		a v l a	744	ab	- a v l a - - - - - - - - - - - -
7146	Azeri	hunt (v.)	ova čïχ, ovčuluġ et, ovla	ova ʨɯχ, ovʨuluɢ et, ovla	o v a _ tʃ ɯ χ	744	ab	- o v - - - - a _ - - - tʃ ɯ χ - -
7147	Bashkir	hunt (v.)	awla	awla	a w l a	744	ab	- a w l a - - - - - - - - - - - -
7148	CrimeanTatar	hunt (v.)	? avla	? avla	a v l a	744	ab	- a v l a - - - - - - - - - - - -
7149	Gagauz	hunt (v.)	awla	awla	a w l a	744	ab	- a w l a - - - - - - - - - - - -
7150	KaraKalpak	hunt (v.)	awla	awla	a w l a	744	ab	- a w l a - - - - - - - - - - - -
7151	KarachayBalkar	hunt (v.)	uwuɣa + motion verb	uwuɣa + motion verb	u w u ɣ a _ b a r	744	ab	- u w - - u ɣ a _ b a r - - - - -
7152	Karaim	hunt (v.)	avla	avla	a v l a	744	ab	- a v l a - - - - - - - - - - - -
7153	Kazakh	hunt (v.)	awla	awla	a w l a	744	ab	- a w l a - - - - - - - - - - - -
7154	Kirghiz	hunt (v.)	uula	uula	uː l a	744	ab	- uː - l a - - - - - - - - - - - -
7155	Kumyk	hunt (v.)	(ɣ)aw et	(ɣ)aw et	ɣ a w _ e t	744	ab	ɣ a w _ - - - - - - - - - - - e t
7156	Tatar	hunt (v.)	awla	awla	a w l a	744	ab	- a w l a - - - - - - - - - - - -
7157	Turkish	hunt (v.)	avla	avla	a v l a	744	ab	- a v l a - - - - - - - - - - - -
7158	Turkmen	hunt (v.)	awla	awla	a w l a	744	ab	- a w l a - - - - - - - - - - - -
7159	Uighur	hunt (v.)	ola	ola	o l a	744	ab	- o - l a - - - - - - - - - - - -
7160	Uzbek	hunt (v.)	ɔvla	ɔvla	ɔ v l a	744	ab	- ɔ v l a - - - - - - - - - - - -
7161	Chuvash	hunt (v.)	tït	tɯt	t ɯ t	745	*tut	
7162	MiddleChulym	hunt (v.)	tayɣala	tajɣala	t a j ɣ a l a	746	tajɣala	
7163	SarygYugur	hunt (v.)	ti(g)	ti(g)	t i g	747	ti(g)	t i g
7164	Khalaj	hunt (v.)	? täzür	? tɛzyr	t æ z y r	748	täzür	
7165	Salar	hunt (v.)	ertaχ et	ertaχ et	e r t a χ _ e t	749	ertaχ et	
7166	Baraba	hunt (v.)	atïš/kötin		a t ɯ ʃ	750	atïš/kötin	a t ɯ ʃ
7167	Baraba	ice (n.)	mOs		m o s	751	buz	m o s - -
7168	CodexCumanicus	ice (n.)	bus, buyz		b u s	751	buz	b u s - -
7169	NorthAltai	ice (n.)	bus, pus		b u s	751	buz	b u s - -
7170	Azeri	ice (n.)	buz	buz	b u z	751	buz	b u z - -
7171	Bashkir	ice (n.)	boδ	boð	b o ð	751	buz	b o ð - -
7172	Chuvash	ice (n.)	pəʷr	pör	p ŏ r	751	buz	p ŏ r - -
7173	CrimeanTatar	ice (n.)	buz	buz	b u z	751	buz	b u z - -
7174	Dolgan	ice (n.)	bu:s	bu:s	b uː s	751	buz	b uː s - -
7175	Gagauz	ice (n.)	buz	buz	b u z	751	buz	b u z - -
7176	KaraKalpak	ice (n.)	muz	muz	m u z	751	buz	m u z - -
7177	KarachayBalkar	ice (n.)	buz	buz	b u z	751	buz	b u z - -
7178	Karaim	ice (n.)	buz	buz	b u z	751	buz	b u z - -
7179	Kazakh	ice (n.)	mŭz	mŭz	m u z	751	buz	m u z - -
7180	Khakas	ice (n.)	pus	pus	p u s	751	buz	p u s - -
7181	Khalaj	ice (n.)	bu:za:ḳ	bu:za:q	b uː z aː q	751	buz	b uː z aː q
7182	Kirghiz	ice (n.)	muz	muz	m u z	751	buz	m u z - -
7183	Kumyk	ice (n.)	buz	buz	b u z	751	buz	b u z - -
7184	MiddleChulym	ice (n.)	pus	pus	p u s	751	buz	p u s - -
7185	Nogai	ice (n.)	buz	buz	b u z	751	buz	b u z - -
7186	SarygYugur	ice (n.)	pïz	pɯz	p ɯ z	751	buz	p ɯ z - -
7187	Shor	ice (n.)	mus	mus	m u s	751	buz	m u s - -
7188	Tatar	ice (n.)	boz	boz	b o z	751	buz	b o z - -
7189	Turkish	ice (n.)	buz	buz	b u z	751	buz	b u z - -
7190	Turkmen	ice (n.)	buz	buz	b u z	751	buz	b u z - -
7191	Uighur	ice (n.)	muz	muz	m u z	751	buz	m u z - -
7192	Uzbek	ice (n.)	muz	muz	m u z	751	buz	m u z - -
7193	Yakut	ice (n.)	mu:s	mu:s	m uː s	751	buz	m uː s - -
7194	SouthAltai	ice (n.)	toš	toʃ	t o ʃ	752	toš	t o ʃ
7195	Tofa	ice (n.)	toˁš	toˁʃ	t oˁ ʃ	752	toš	t oˁ ʃ
7196	Tuvan	ice (n.)	doš	doʃ	d o ʃ	752	toš	d o ʃ
7197	Salar	ice (n.)	toŋsï	toŋsɯ	t o ŋ s ɯ	753	toŋsï	
3302	Baraba	in	icindä		i ʦ i n d ɛ	289	*ič	i - ʦ i n - - - - - - - - d ɛ - - - - - - - - - -
3303	CodexCumanicus	in	izchari, jzinda		i z q a r i	289	*ič	i - z - - - - - - - - - - - - - - - - - - q a r i
3304	NorthAltai	in	ižinde		i ʒ i n d e	289	*ič	i - ʒ i n - - - - - - - - d e - - - - - - - - - -
3305	OldUyghur	in	ičinte		i tʃ i n t e	289	*ič	i - tʃ i n - - - - - - - - t e - - - - - - - - - -
3306	SouthAltai	in	ičinde	iʨinde	i tʃ i n d e	289	*ič	i - tʃ i n - - - - - - - - d e - - - - - - - - - -
3307	Azeri	in	ičäridä, ičindä	iʨɛridɛ, iʨindɛ	i tʃ æ r i d æ	289	*ič	i - tʃ - - æ r i - - - - - d æ - - - - - - - - - -
3308	Bashkir	in	esendä	esendɛ	e s e n d æ	289	*ič	e - s e n - - - - - - - - d æ - - - - - - - - - -
3309	Chuvash	in	əžɘnǰe	ə̈ʒɘnʥe	ə ʒ ĭ n ʥ e	289	*ič	ə - ʒ ĭ n - - - - - - - - ʥ e - - - - - - - - - -
3310	CrimeanTatar	in	ičinde	iʨinde	i tʃ i n d e	289	*ič	i - tʃ i n - - - - - - - - d e - - - - - - - - - -
3311	Dolgan	in	iske, ihiger	iske, ihiger	i s k e	289	*ič	i - s - - - - - - - - - - - - k e - - - - - - - -
3312	Gagauz	in	ičyanïnda, ičinde	iʨjanɯnda, iʨinde	i tʃ j a n ɯ n d a	289	*ič	i - tʃ - - - - - j a n ɯ n d a - - - - - - - - - -
3313	KaraKalpak	in	išinde	iʃinde	i ʃ i n d e	289	*ič	i - ʃ i n - - - - - - - - d e - - - - - - - - - -
3314	KarachayBalkar	in	ičinde	iʨinde	i tʃ i n d e	289	*ič	i - tʃ i n - - - - - - - - d e - - - - - - - - - -
3315	Karaim	in	ičke	iʨke	i tʃ k e	289	*ič	i - tʃ - - - - - - - - - - - - k e - - - - - - - -
3316	Kazakh	in	ĭšĭnde	ɘʃɘnde	ĭ ʃ ĭ n d e	289	*ič	ĭ - ʃ ĭ n - - - - - - - - d e - - - - - - - - - -
3317	Khakas	in	ɘstɘnde	ɘstɘnde	ĭ s t ĭ n d e	289	*ič	ĭ s t ĭ n - - - - - - - - d e - - - - - - - - - -
3318	Khalaj	in	ič*	iʨ*	i ʨ	289	*ič	i - ʨ - - - - - - - - - - - - - - - - - - - - - -
3319	Kirghiz	in	ičinde	iʨinde	i tʃ i n d e	289	*ič	i - tʃ i n - - - - - - - - d e - - - - - - - - - -
3320	Kumyk	in	ič(in)de	iʨ(in)de	i ʨ i n d e	289	*ič	i - ʨ i n - - - - - - - - d e - - - - - - - - - -
3321	Nogai	in	išinde	iʃinde	i ʃ i n d e	289	*ič	i - ʃ i n - - - - - - - - d e - - - - - - - - - -
3322	Salar	in	iči	iʨi	i tʃ i	289	*ič	i - tʃ i - - - - - - - - - - - - - - - - - - - - -
3323	SarygYugur	in	ičinte, ište	iʨinte, iʃte	i tʃ i n t e	289	*ič	i - tʃ i n - - - - - - - - t e - - - - - - - - - -
3324	Shor	in	ištinde	iʃtinde	i ʃ t i n d e	289	*ič	i ʃ t i n - - - - - - - - d e - - - - - - - - - -
3325	Tatar	in	ečtä	eʨtɛ	e tʃ t æ	289	*ič	e - tʃ - - - - - - - - - - t æ - - - - - - - - - -
3326	Tofa	in	iˁštĭnde	iˁʃtɘnde	iˁ ʃ t ĭ n d e	289	*ič	iˁ ʃ t ĭ n - - - - - - - - d e - - - - - - - - - -
3327	Turkish	in	ičinde	iʨinde	i tʃ i n d e	289	*ič	i - tʃ i n - - - - - - - - d e - - - - - - - - - -
3328	Turkmen	in	ičindä	iʨindɛ	i tʃ i n d æ	289	*ič	i - tʃ i n - - - - - - - - d æ - - - - - - - - - -
3329	Tuvan	in	ištinde	iʃtinde	i ʃ t i n d e	289	*ič	i ʃ t i n - - - - - - - - d e - - - - - - - - - -
3330	Uighur	in	ičidä	iʨidɛ	i tʃ i d æ	289	*ič	i - tʃ i - - - - - - - - - d æ - - - - - - - - - -
3331	Uzbek	in	ičida	iʨida	i tʃ i d a	289	*ič	i - tʃ i - - - - - - - - - d a - - - - - - - - - -
3332	Yakut	in	ihiger	ihiger	i h i g e r	289	*ič	i - h - - - - - - - - - - - - - - i g e r - - - -
5164	Nogai	jump (v.)	ḳarɣï	qarɣɯ	q a r ɣ ɯ	490	karɣï	
5165	Azeri	jump (v.)	atïl, atlan	atɯl, atlan	a t ɯ l	491	*a:tla ? (< intensive form of 'to step'?)	a t ɯ l -
5166	CrimeanTatar	jump (v.)	? atla	? atla	a t l a	491	*a:tla ? (< intensive form of 'to step'?)	a t - l a
5167	Gagauz	jump (v.)	atla	atla	a t l a	491	*a:tla ? (< intensive form of 'to step'?)	a t - l a
5168	Kumyk	jump (v.)	atïl	atɯl	a t ɯ l	491	*a:tla ? (< intensive form of 'to step'?)	a t ɯ l -
5169	Shor	jump (v.)	attï	attɯ	a tː ɯ	491	*a:tla ? (< intensive form of 'to step'?)	a tː ɯ - -
5170	Turkish	jump (v.)	atla	atla	a t l a	491	*a:tla ? (< intensive form of 'to step'?)	a t - l a
5171	Dolgan	jump (v.)	oy	oj	o j	492	*oj	o j
5172	Yakut	jump (v.)	? oy	? oj	o j	492	*oj	o j
5173	Dolgan	jump (v.)	ïstan	ɯstan	ɯ s t a n	493	ïstan	ɯ s t a n
5174	Yakut	jump (v.)	ïstan	ɯstan	ɯ s t a n	493	ïstan	ɯ s t a n
5175	Baraba	jump (v.)	sägir-, säkir-		s æ g i r	494	*se:k	s æ g i r -
5176	CodexCumanicus	jump (v.)	sechir-		s e k i r	494	*se:k	s e k i r -
5177	NorthAltai	jump (v.)	? sekir-		s e k i r	494	*se:k	s e k i r -
5178	OldUyghur	jump (v.)	sekri		s e k r i	494	*se:k	s e k - r i
5179	SouthAltai	jump (v.)	sekir	sekir	s e k i r	494	*se:k	s e k i r -
5180	Bashkir	jump (v.)	hiker	hiker	h i k e r	494	*se:k	h i k e r -
5181	Chuvash	jump (v.)	sik	sik	s i k	494	*se:k	s i k - - -
5182	CrimeanTatar	jump (v.)	? sekir	? sekir	s e k i r	494	*se:k	s e k i r -
5183	KaraKalpak	jump (v.)	sekir	sekir	s e k i r	494	*se:k	s e k i r -
5184	KarachayBalkar	jump (v.)	sekir	sekir	s e k i r	494	*se:k	s e k i r -
5185	Karaim	jump (v.)	sekir	sekir	s e k i r	494	*se:k	s e k i r -
5186	Kazakh	jump (v.)	sekĭr	sekɘr	s e k ĭ r	494	*se:k	s e k ĭ r -
5187	Khakas	jump (v.)	segɘr	segɘr	s e g ĭ r	494	*se:k	s e g ĭ r -
5188	Kirghiz	jump (v.)	sekir	sekir	s e k i r	494	*se:k	s e k i r -
5189	Salar	jump (v.)	seker	seker	s e k e r	494	*se:k	s e k e r -
5190	Tatar	jump (v.)	siker	siker	s i k e r	494	*se:k	s i k e r -
5191	Uighur	jump (v.)	? säkrä	? sɛkrɛ	s æ k r æ	494	*se:k	s æ k - r æ
5192	Uzbek	jump (v.)	sakra	sakra	s a k r a	494	*se:k	s a k - r a
5193	NorthAltai	jump (v.)	ḳalï-		q a l ɯ	495	ḳalï	q a l ɯ
5194	SouthAltai	jump (v.)	ḳalï	qalɯ	q a l ɯ	495	ḳalï	q a l ɯ
5195	Tuvan	jump (v.)	χalï	χalɯ	χ a l ɯ	495	ḳalï	χ a l ɯ
5196	SarygYugur	jump (v.)	? poḳïr	? poqɯr	p o q ɯ r	496	*bök	p o q ɯ r
5197	Turkmen	jump (v.)	bök	bøk	b ø k	496	*bök	b ø k - -
5198	MiddleChulym	jump (v.)	idɘn	idɘn	i d ĭ n	497	et it	i d ĭ n
5199	Tofa	jump (v.)	šura (šïra)	ʃura (ʃɯra)	ʃ u r a	498	šura	ʃ u r a
5200	Tuvan	jump (v.)	šura	ʃura	ʃ u r a	498	šura	ʃ u r a
5201	Azeri	jump (v.)	sïčra	sɯʨra	s ɯ tʃ r a	499	sïčra	s ɯ tʃ r a
5202	CrimeanTatar	jump (v.)	? sïčra	? sɯʨra	s ɯ tʃ r a	499	sïčra	s ɯ tʃ r a
5132	Baraba	kill (v.)	öytir-		ø j t i r	488	öl(t)ür  ölür  ötür	- ø j t i r
5133	NorthAltai	kill (v.)	öltör- ~ öltür-		ø l t ø r	488	öl(t)ür  ölür  ötür	- ø l t ø r
5134	OldUyghur	kill (v.)	ölür		ø l y r	488	öl(t)ür  ölür  ötür	- ø l - y r
5135	SouthAltai	kill (v.)	öltür	øltyr	ø l t y r	488	öl(t)ür  ölür  ötür	- ø l t y r
5136	Azeri	kill (v.)	öldür	øldyr	ø l d y r	488	öl(t)ür  ölür  ötür	- ø l d y r
5137	Bashkir	kill (v.)	ülter	ylter	y l t e r	488	öl(t)ür  ölür  ötür	- y l t e r
5138	Chuvash	kill (v.)	vɘʷler	vø̈ler	v ø̆ l e r	488	öl(t)ür  ölür  ötür	v ø̆ l - e r
5139	CrimeanTatar	kill (v.)	öldür	øldyr	ø l d y r	488	öl(t)ür  ölür  ötür	- ø l d y r
5140	Dolgan	kill (v.)	ölör	ølør	ø l ø r	488	öl(t)ür  ölür  ötür	- ø l - ø r
5141	Gagauz	kill (v.)	öldür	øldyr	ø l d y r	488	öl(t)ür  ölür  ötür	- ø l d y r
5142	KaraKalpak	kill (v.)	öltir	øltir	ø l t i r	488	öl(t)ür  ölür  ötür	- ø l t i r
5143	KarachayBalkar	kill (v.)	öltür	øltyr	ø l t y r	488	öl(t)ür  ölür  ötür	- ø l t y r
5144	Karaim	kill (v.)	öldir	øldir	ø l d i r	488	öl(t)ür  ölür  ötür	- ø l d i r
5145	Kazakh	kill (v.)	öltĭr	øltɘr	ø l t ĭ r	488	öl(t)ür  ölür  ötür	- ø l t ĭ r
5146	Khakas	kill (v.)	ödɘr	ødɘr	ø d ĭ r	488	öl(t)ür  ölür  ötür	- ø - d ĭ r
5147	Khalaj	kill (v.)	hilä:r	hilɛ:r	h i l ɛː r	488	öl(t)ür  ölür  ötür	h i l - ɛː r
5148	Kirghiz	kill (v.)	öltür	øltyr	ø l t y r	488	öl(t)ür  ölür  ötür	- ø l t y r
5149	Kumyk	kill (v.)	öltür	øltyr	ø l t y r	488	öl(t)ür  ölür  ötür	- ø l t y r
5150	MiddleChulym	kill (v.)	ö:lür	ø:lyr	øː l y r	488	öl(t)ür  ölür  ötür	- øː l - y r
5151	Nogai	kill (v.)	öltir	øltir	ø l t i r	488	öl(t)ür  ölür  ötür	- ø l t i r
5152	Salar	kill (v.)	ölter	ölter	ø l t e r	488	öl(t)ür  ölür  ötür	- ø l t e r
5153	SarygYugur	kill (v.)	yulur, (yulïr, yülür, ülür)	julur, (julɯr, jylyr, ylyr)	j u l u r	488	öl(t)ür  ölür  ötür	j u l - u r
5154	Shor	kill (v.)	ödür	ødyr	ø d y r	488	öl(t)ür  ölür  ötür	- ø - d y r
5155	Tatar	kill (v.)	üter	yter	y t e r	488	öl(t)ür  ölür  ötür	- y - t e r
5156	Tofa	kill (v.)	ölür	ølyr	ø l y r	488	öl(t)ür  ölür  ötür	- ø l - y r
5157	Turkish	kill (v.)	öldür	øldyr	ø l d y r	488	öl(t)ür  ölür  ötür	- ø l d y r
5158	Turkmen	kill (v.)	öldür	øldyr	ø l d y r	488	öl(t)ür  ölür  ötür	- ø l d y r
5159	Tuvan	kill (v.)	ölür	ølyr	ø l y r	488	öl(t)ür  ölür  ötür	- ø l - y r
5160	Uighur	kill (v.)	öltür	øltyr	ø l t y r	488	öl(t)ür  ölür  ötür	- ø l t y r
5161	Uzbek	kill (v.)	ọldir	oldir	o l d i r	488	öl(t)ür  ölür  ötür	- o l d i r
5162	Yakut	kill (v.)	ölör	ølør	ø l ø r	488	öl(t)ür  ölür  ötür	- ø l - ø r
5163	CodexCumanicus	kill (v.)	yara et-		j a r a _ e t	489	yara et-	
1932	Baraba	knee (n.)	tizi, tiz-		t i z i	154	*ti:ŕ, *tü:ŕ	t i z i - - - - - - - - - - - - -
1933	CodexCumanicus	knee (n.)	tixgi, chesi		t i s g i	154	*ti:ŕ, *tü:ŕ	t i s - - g i - - - - - - - - - -
1934	NorthAltai	knee (n.)	tize		t i z e	154	*ti:ŕ, *tü:ŕ	t i z e - - - - - - - - - - - - -
1935	OldUyghur	knee (n.)	tiz		t i z	154	*ti:ŕ, *tü:ŕ	t i z - - - - - - - - - - - - - -
1936	SouthAltai	knee (n.)	tize	tize	t i z e	154	*ti:ŕ, *tü:ŕ	t i z e - - - - - - - - - - - - -
1937	Azeri	knee (n.)	diz	diz	d i z	154	*ti:ŕ, *tü:ŕ	d i z - - - - - - - - - - - - - -
1938	Chuvash	knee (n.)	čɘrguśśi	ʨɘrguɕɕi	tʃ ĭ r g u ɕː i	154	*ti:ŕ, *tü:ŕ	tʃ ĭ r - - - - - g u ɕː i - - - - -
1939	CrimeanTatar	knee (n.)	tiz	tiz	t i z	154	*ti:ŕ, *tü:ŕ	t i z - - - - - - - - - - - - - -
1940	Gagauz	knee (n.)	dis'	dis'	d i sˈ	154	*ti:ŕ, *tü:ŕ	d i sˈ - - - - - - - - - - - - - -
1941	KaraKalpak	knee (n.)	dize	dize	d i z e	154	*ti:ŕ, *tü:ŕ	d i z e - - - - - - - - - - - - -
1942	Karaim	knee (n.)	tüz, tiz, kiz	tyz, tiz, kiz	t y z	154	*ti:ŕ, *tü:ŕ	t y z - - - - - - - - - - - - - -
1943	Kazakh	knee (n.)	tĭze	tɘze	t ĭ z e	154	*ti:ŕ, *tü:ŕ	t ĭ z e - - - - - - - - - - - - -
1944	Khakas	knee (n.)	tɘzek, (tɘstenek)	tɘzek, (tɘstenek)	t ĭ z e k	154	*ti:ŕ, *tü:ŕ	t ĭ z e k - - - - - - - - - - - -
1945	Khalaj	knee (n.)	ti:iz	ti:iz	t iː z	154	*ti:ŕ, *tü:ŕ	t iː z - - - - - - - - - - - - - -
1946	Kirghiz	knee (n.)	tize	tize	t i z e	154	*ti:ŕ, *tü:ŕ	t i z e - - - - - - - - - - - - -
1947	MiddleChulym	knee (n.)	təsβa:zə	təsβa:zə	t ə s _ β aː z ə	154	*ti:ŕ, *tü:ŕ	t ə s - - - - - - - - - _ β aː z ə
1948	Nogai	knee (n.)	tiz	tiz	t i z	154	*ti:ŕ, *tü:ŕ	t i z - - - - - - - - - - - - - -
1949	Salar	knee (n.)	tizeχ	tizeχ	t i z e χ	154	*ti:ŕ, *tü:ŕ	t i z e χ - - - - - - - - - - - -
1950	SarygYugur	knee (n.)	tez, tiz	tez, tiz	t e z	154	*ti:ŕ, *tü:ŕ	t e z - - - - - - - - - - - - - -
1951	Shor	knee (n.)	tize	tize	t i z e	154	*ti:ŕ, *tü:ŕ	t i z e - - - - - - - - - - - - -
1952	Tatar	knee (n.)	tez	tez	t e z	154	*ti:ŕ, *tü:ŕ	t e z - - - - - - - - - - - - - -
1953	Tofa	knee (n.)	tĭskek	tɘskek	t ĭ s k e k	154	*ti:ŕ, *tü:ŕ	t ĭ s - - k e k - - - - - - - - -
1954	Turkish	knee (n.)	diz	diz	d i z	154	*ti:ŕ, *tü:ŕ	d i z - - - - - - - - - - - - - -
1955	Turkmen	knee (n.)	dïz	dɯz	d ɯ z	154	*ti:ŕ, *tü:ŕ	d ɯ z - - - - - - - - - - - - - -
1956	Tuvan	knee (n.)	dis(kek)	dis(kek)	d i s k e k	154	*ti:ŕ, *tü:ŕ	d i s - - k e k - - - - - - - - -
1957	Uighur	knee (n.)	tiz	tiz	t i z	154	*ti:ŕ, *tü:ŕ	t i z - - - - - - - - - - - - - -
1958	Uzbek	knee (n.)	tiz(za)	tiz(za)	t i z	154	*ti:ŕ, *tü:ŕ	t i z - - - - - - - - - - - - - -
1959	MiddleChulym	knee (n.)	təsβa:zə	təsβa:zə	t ə s _ β aː z ə	155	*balč	t ə s _ β aː z ə
1960	Chuvash	knee (n.)	čɘrguśśi	ʨɘrguɕɕi	tʃ ĭ r g u ɕː i	156	*görs	tʃ ĭ r g u ɕː i
1961	Bashkir	knee (n.)	tubïḳ	tubɯq	t u b ɯ q	157	*topïk	t u b ɯ q
1962	Dolgan	knee (n.)	tobuk	tobuk	t o b u k	157	*topïk	t o b u k
1963	KarachayBalkar	knee (n.)	tobuḳ	tobuq	t o b u q	157	*topïk	t o b u q
1964	Kumyk	knee (n.)	tobuḳ	tobuq	t o b u q	157	*topïk	t o b u q
1965	Yakut	knee (n.)	tobuk	tobuk	t o b u k	157	*topïk	t o b u k
1900	Baraba	know (v.)	pil-		p i l	152	*bil	p i l
1901	CodexCumanicus	know (v.)	bil-		b i l	152	*bil	b i l
1902	OldUyghur	know (v.)	bil		b i l	152	*bil	b i l
1903	SouthAltai	know (v.)	bil	bil	b i l	152	*bil	b i l
1904	Azeri	know (v.)	bil	bil	b i l	152	*bil	b i l
1905	Bashkir	know (v.)	bel	bel	b e l	152	*bil	b e l
1906	Chuvash	know (v.)	pɘl	pɘl	p ĭ l	152	*bil	p ĭ l
1907	CrimeanTatar	know (v.)	bil	bil	b i l	152	*bil	b i l
1908	Dolgan	know (v.)	bil	bil	b i l	152	*bil	b i l
1909	Gagauz	know (v.)	bil	bil	b i l	152	*bil	b i l
1910	KaraKalpak	know (v.)	bil	bil	b i l	152	*bil	b i l
1911	KarachayBalkar	know (v.)	bil	bil	b i l	152	*bil	b i l
1912	Karaim	know (v.)	bil	bil	b i l	152	*bil	b i l
1913	Kazakh	know (v.)	bĭl	bɘl	b ĭ l	152	*bil	b ĭ l
1914	Khakas	know (v.)	pɘl	pɘl	p ĭ l	152	*bil	p ĭ l
1915	Khalaj	know (v.)	bil	bil	b i l	152	*bil	b i l
1916	Kirghiz	know (v.)	bil	bil	b i l	152	*bil	b i l
1917	Kumyk	know (v.)	bil	bil	b i l	152	*bil	b i l
1918	MiddleChulym	know (v.)	pɘl	pɘl	p ĭ l	152	*bil	p ĭ l
1919	Nogai	know (v.)	bil	bil	b i l	152	*bil	b i l
1920	Salar	know (v.)	bel	bel	b e l	152	*bil	b e l
1921	SarygYugur	know (v.)	pel, pïl, bel	pel, pɯl, bel	p e l	152	*bil	p e l
1922	Shor	know (v.)	pil	pil	p i l	152	*bil	p i l
1923	Tatar	know (v.)	bel	bel	b e l	152	*bil	b e l
1924	Tofa	know (v.)	bil	bil	b i l	152	*bil	b i l
1925	Turkish	know (v.)	bil	bil	b i l	152	*bil	b i l
1926	Turkmen	know (v.)	bil	bil	b i l	152	*bil	b i l
1927	Tuvan	know (v.)	bil	bil	b i l	152	*bil	b i l
1928	Uighur	know (v.)	bil	bil	b i l	152	*bil	b i l
1929	Uzbek	know (v.)	bil	bil	b i l	152	*bil	b i l
1930	Yakut	know (v.)	bil	bil	b i l	152	*bil	b i l
1931	NorthAltai	know (v.)	oŋna-		o ŋ n a	153	*aŋ-la-	
7198	Baraba	lake (n.)	köl		k ø l	754	köl	k ø - l -
7199	NorthAltai	lake (n.)	köl		k ø l	754	köl	k ø - l -
7200	OldUyghur	lake (n.)	köl		k ø l	754	köl	k ø - l -
7201	SouthAltai	lake (n.)	köl	køl	k ø l	754	köl	k ø - l -
7202	Azeri	lake (n.)	ǵöl	gjøl	gˈ ø l	754	köl	gˈ ø - l -
7203	Bashkir	lake (n.)	kül	kyl	k y l	754	köl	k y - l -
7204	Chuvash	lake (n.)	külɘ	kylɘ	k y l ĭ	754	köl	k y - l ĭ
7205	CrimeanTatar	lake (n.)	göl	gøl	g ø l	754	köl	g ø - l -
7206	Dolgan	lake (n.)	küöl	kyøl	k y ø l	754	köl	k y ø l -
7207	Gagauz	lake (n.)	göl	gøl	g ø l	754	köl	g ø - l -
7208	KaraKalpak	lake (n.)	köl	køl	k ø l	754	köl	k ø - l -
7209	KarachayBalkar	lake (n.)	köl	køl	k ø l	754	köl	k ø - l -
7210	Karaim	lake (n.)	gel	gel	g e l	754	köl	g e - l -
7211	Kazakh	lake (n.)	köl	køl	k ø l	754	köl	k ø - l -
7212	Khakas	lake (n.)	köl	køl	k ø l	754	köl	k ø - l -
